Pond;S1_13;S2_13;S3_13;S4_13;S5_13;S6_13;S7_13;S1_14;S2_14;S3_14;S4_14;S5_14;S6_14;S7_14;S1_15;S2_15;S3_15;S4_15;S5_15;S6_15;S7_15;S1_16;S2_16;S3_16;S4_16;S5_16;S6_16;S7_16;S1_17;S2_17;S3_17;S4_17;S5_17;S6_17;S7_17;S1_18;S2_18;S3_18;S4_18;S5_18;S6_18;S7_18;B1_13;B2_13;B3_13;B4_13;B5_13;B6_13;B7_13;B1_14;B2_14;B3_14;B4_14;B5_14;B6_14;B7_14;B1_15;B2_15;B3_15;B4_15;B5_15;B6_15;B7_15;B1_16;B2_16;B3_16;B4_16;B5_16;B6_16;B7_16;B1_17;B2_17;B3_17;B4_17;B5_17;B6_17;B7_17;S1_18;B2_18;B3_18;B4_18;B5_18;B6_18;B7_18;LTemp1_13;LTemp2_13;LTemp3_13;LTemp4_13;LTemp5_13;LTemp6_13;LTemp7_13;LTemp1_14;LTemp2_14;LTemp3_14;LTemp4_14;LTemp5_14;LTemp6_14;LTemp7_14;LTemp1_15;LTemp2_15;LTemp3_15;LTemp4_15;LTemp5_15;LTemp6_15;LTemp7_15;LTemp1_16;LTemp2_16;LTemp3_16;LTemp4_16;LTemp5_16;LTemp6_16;LTemp7_16;LTemp1_17;LTemp2_17;LTemp3_17;LTemp4_17;LTemp5_17;LTemp6_17;LTemp7_17;LTemp1_18;LTemp2_18;LTemp3_18;LTemp4_18;LTemp5_18;LTemp6_18;LTemp7_18;Roehrichtguertel_13;Roehrichtguertel_14;Roehrichtguertel_15;Roehrichtguertel_16;Roehrichtguertel_17;Roehrichtguertel_18;Schwimmblattpflanzen_13;Schwimmblattpflanzen_14;Schwimmblattpflanzen_15;Schwimmblattpflanzen_16;Schwimmblattpflanzen_17;Schwimmblattpflanzen_18;Sum_Rain_13;Sum_Rain_14;Sum_Rain_15;Sum_Rain_16;Sum_Rain_17;Sum_Rain_18;Tage_5_Grad_13;Tage_5_Grad_14;Tage_5_Grad_15;Tage_5_Grad_16;Tage_5_Grad_17;Tage_5_Grad_18;Wasserversorgung;Flaeche
7bc;0;0;0;0;NA;0;NA;0;0;0;0;0;0;0;NA;0;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;NA;NA;1;2;2;2;NA;3;NA;2;2;2;2;2;2;2;NA;3;NA;NA;NA;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;3;1;1;1;NA;NA;9,2;11,7;16,5;15,7;16,8;16,1;16,9;14,8;6,4;4,6;5,4;6,5;9,5;10,9;7,2;6,7;3,6;4,6;13,8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14,1;9,5;5,9;11,8;14,8;NA;NA;0,05;0,75;0,05;0,5;0,5;0,05;0,5;0,5;0,5;0,5;0,5;0,05;99,5;45,1;67,7;105;93,4;79,6;23;74;41;48;63;39;indirekt;13774,52
8;0;NA;NA;1;NA;1;0;1;1;1;0;1;1;0;0;0;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;1;1;0;NA;NA;1;NA;NA;2;NA;3;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;3;1;1;1;NA;NA;9,2;11,7;16,5;15,7;16,8;16,1;16,9;14,8;6,4;4,6;5,4;6,5;9,5;10,9;7,2;6,7;3,6;4,6;13,8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14,1;9,5;5,9;11,8;14,8;NA;NA;0,5;0,75;0,5;0,5;0,5;0,05;0,05;0,5;0,5;0,5;0,5;0,05;99,5;45,1;67,7;105;93,4;79,6;23;74;41;48;63;39;keine;12753,88
8a;0;NA;NA;1;NA;1;0;1;1;1;0;1;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;0;0;NA;NA;1;NA;NA;2;NA;3;2;2;2;2;2;2;2;2;NA;NA;NA;NA;NA;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;3;1;1;1;NA;NA;9,2;11,7;16,5;15,7;16,8;16,1;16,9;14,8;6,4;4,6;5,4;6,5;9,5;10,9;7,2;6,7;3,6;4,6;13,8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14,1;9,5;5,9;11,8;14,8;NA;NA;0,75;0,75;0,05;0,5;0,5;0,75;0,05;0,5;0,5;0,5;0,5;0,05;99,5;45,1;67,7;105;93,4;79,6;23;74;41;48;63;39;keine;4057,89
9;NA;NA;1;NA;1;NA;0;1;0;0;0;0;0;0;0;0;0;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;1;NA;NA;NA;NA;2;NA;2;NA;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;3;1;1;1;NA;NA;9,2;11,7;16,5;15,7;16,8;16,1;16,9;14,8;6,4;4,6;5,4;6,5;9,5;10,9;7,2;6,7;3,6;4,6;13,8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14,1;9,5;5,9;11,8;14,8;NA;NA;0,05;0,75;0,05;0,5;0,5;0,05;0,5;0,5;0,5;0,5;0,5;0,05;99,5;45,1;67,7;105;93,4;79,6;23;74;41;48;63;39;keine;9230,4
10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;3;1;1;1;NA;NA;9,2;11,7;16,5;15,7;16,8;16,1;16,9;14,8;6,4;4,6;5,4;6,5;9,5;10,9;7,2;6,7;3,6;4,6;13,8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14,1;9,5;5,9;11,8;14,8;NA;NA;0,19;0,6;0,125;0,5;0,5;0,05;0,39;0,55;0,53;0,5;0,5;0,05;99,5;45,1;67,7;105;93,4;79,6;23;74;41;48;63;39;keine;1144,89
11;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;0;1;0;0;0;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;2;2;2;2;2;3;2;2;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;3;1;1;1;NA;NA;9,2;11,7;16,5;15,7;16,8;16,1;16,9;14,8;6,4;4,6;5,4;6,5;9,5;10,9;7,2;6,7;3,6;4,6;13,8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14,1;9,5;5,9;11,8;14,8;NA;NA;0,19;0,75;0,05;0,5;0,5;0,5;0,39;0,5;0,75;0,5;0,5;0,05;99,5;45,1;67,7;105;93,4;79,6;23;74;41;48;63;39;keine;1755,9
12;NA;1;NA;0;1;1;NA;1;0;0;0;0;0;0;0;0;0;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;2;NA;2;2;3;NA;2;2;2;2;2;2;2;2;3;2;2;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;3;1;1;1;NA;NA;9,2;11,7;16,5;15,7;16,8;16,1;16,9;14,8;6,4;4,6;5,4;6,5;9,5;10,9;7,2;6,7;3,6;4,6;13,8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14,1;9,5;5,9;11,8;14,8;NA;NA;0,05;0,75;0,05;0,5;0,5;0,05;0,5;0,5;0,5;0,5;0,5;0,05;99,5;45,1;67,7;105;93,4;79,6;23;74;41;48;63;39;keine;40517,5
13;0;NA;NA;0;0;NA;NA;1;0;0;0;0;1;0;0;0;0;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;1;NA;NA;1;NA;NA;2;2;NA;NA;2;2;2;2;2;2;2;2;3;2;2;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;3;1;1;1;NA;NA;9,2;11,7;16,5;15,7;16,8;16,1;16,9;14,8;6,4;4,6;5,4;6,5;9,5;10,9;7,2;6,7;3,6;4,6;13,8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14,1;9,5;5,9;11,8;14,8;NA;NA;0,05;0,75;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,05;99,5;45,1;67,7;105;93,4;79,6;23;74;41;48;63;39;keine;20227
14;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;3;1;1;1;NA;NA;9,2;11,7;16,5;15,7;16,8;16,1;16,9;14,8;6,4;4,6;5,4;6,5;9,5;10,9;7,2;6,7;3,6;4,6;13,8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14,1;9,5;5,9;11,8;14,8;NA;NA;0,19;0,6;0,125;0,5;0,5;0,05;0,39;0,55;0,53;0,5;0,5;0,05;99,5;45,1;67,7;105;93,4;79,6;23;74;41;48;63;39;keine;32180,62
15;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;2;2;2;2;NA;NA;NA;NA;NA;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;3;1;1;1;NA;NA;9,2;11,7;16,5;15,7;16,8;16,1;16,9;14,8;6,4;4,6;5,4;6,5;9,5;10,9;7,2;6,7;3,6;4,6;13,8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14,1;9,5;5,9;11,8;14,8;NA;NA;0,19;0,75;0,125;0,5;0,5;0,75;0,39;0,5;0,53;0,5;0,5;0,05;99,5;45,1;67,7;105;93,4;79,6;23;74;41;48;63;39;keine;12574,81
41;NA;NA;1;NA;1;NA;0;1;1;1;1;1;1;1;0;0;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;1;1;NA;NA;NA;NA;2;NA;2;NA;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;3;1;1;1;NA;NA;9,2;11,7;16,5;15,7;16,8;16,1;16,9;14,8;6,4;4,6;5,4;6,5;9,5;10,9;7,2;6,7;3,6;4,6;13,8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14,1;9,5;5,9;11,8;14,8;NA;NA;0,05;0,75;0,05;0,5;0,5;0,05;0,5;0,5;0,5;0,5;0,5;0,05;99,5;45,1;67,7;105;93,4;79,6;23;74;41;48;63;39;keine;6504,97
42;NA;NA;NA;NA;NA;NA;NA;1;0;1;0;0;0;1;0;0;0;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;2;2;2;2;2;3;2;3;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;3;1;1;1;NA;NA;9,2;11,7;16,5;15,7;16,8;16,1;16,9;14,8;6,4;4,6;5,4;6,5;9,5;10,9;7,2;6,7;3,6;4,6;13,8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14,1;9,5;5,9;11,8;14,8;NA;NA;0,19;0,75;0,05;0,5;0,5;0,05;0,39;0,75;0,5;0,5;0,5;0,05;99,5;45,1;67,7;105;93,4;79,6;23;74;41;48;63;39;keine;2339,2
43;NA;NA;1;NA;1;NA;0;1;1;1;1;1;1;1;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;1;1;NA;NA;NA;NA;2;NA;2;NA;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;3;1;1;1;NA;NA;9,2;11,7;16,5;15,7;16,8;16,1;16,9;14,8;6,4;4,6;5,4;6,5;9,5;10,9;7,2;6,7;3,6;4,6;13,8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14,1;9,5;5,9;11,8;14,8;NA;NA;0,05;0,75;0,05;0,5;0,5;0,05;0,5;0,5;0,5;0,5;0,5;0,05;99,5;45,1;67,7;105;93,4;79,6;23;74;41;48;63;39;keine;552,41
47;NA;NA;NA;NA;NA;NA;NA;1;0;1;0;0;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;2;2;2;2;NA;NA;NA;NA;NA;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;3;1;1;1;NA;NA;9,2;11,7;16,5;15,7;16,8;16,1;16,9;14,8;6,4;4,6;5,4;6,5;9,5;10,9;7,2;6,7;3,6;4,6;13,8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14,1;9,5;5,9;11,8;14,8;NA;NA;0,19;0,75;0,125;0,5;0,5;0,05;0,39;0,75;0,53;0,5;0,5;0,05;99,5;45,1;67,7;105;93,4;79,6;23;74;41;48;63;39;keine;4302,08
49;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;3;2;2;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;3;1;1;1;NA;NA;9,2;11,7;16,5;15,7;16,8;16,1;16,9;14,8;6,4;4,6;5,4;6,5;9,5;10,9;7,2;6,7;3,6;4,6;13,8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14,1;9,5;5,9;11,8;14,8;NA;NA;0,19;0,6;0,05;0,5;0,5;0,05;0,39;0,55;0,5;0,5;0,5;0,05;99,5;45,1;67,7;105;93,4;79,6;23;74;41;48;63;39;keine;1310,3
